water_area,continent,country,state,county,year
Atlantic Ocean,North America,USA,Florida,Indian River County,2015
Atlantic Ocean Islands,Caribbean Islands,Bahama Islands,Abaco Island,DIJ,2015
Indian Ocean,Africa,Republic of South Africa,Eastern Cape,Chintsa,2015
Pacific Ocean,Australia,Australia,New South Wales,Byron Bay,2015
Indian Ocean,Africa,Republic of South Africa,Eastern Cape,East London,2015
Pacific Ocean,Australia,Australia,New South Wales,Ballina,2015
Tasman Sea,Australia,Australia,New South Wales,Newcastle,2015
Tasman Sea,Australia,Australia,New South Wales,Byron Bay,2015
Tasman Sea,Australia,Australia,New South Wales,Ballina,2015
Indian Ocean,Africa,Mascarene Islands,Reunion Island,Saint-Pierre,2015
Pacific Ocean,South America,Ecuador,Galapagos Islands,,2015
Pacific Ocean,Pacific Ocean Islands,USA,Hawaii,Hawaii,2015
Red Sea,Africa,Egypt,DIJ,DIJ,2015
Indian Ocean,Africa,Mascarene Islands,Reunion Island,Saint-Paul,2015
Great Australian Bight,Australia,Australia,South Australia,Port Lincoln,2015
Gulf of Mexico,North America,USA,Florida,Collier County,2015
Pacific Ocean,Pacific Ocean Islands,USA,Hawaii,Maui,2015
DIJ,Australia,Australia,New South Wales,,2015
Indian Ocean,Africa,Republic of South Africa,Eastern Cape,Port St. Johns,2015
Atlantic Ocean,North America,USA,Florida,Brevard County,2015
Pacific Ocean,Pacific Ocean Islands,New Caledonia,Kouare,,2015
Atlantic Ocean,North America,USA,Florida,Volusia County,2015
Atlantic Ocean,North America,USA,South Carolina,Charleston County,2015
Atlantic Ocean,North America,USA,Florida,Volusia County,2015
Atlantic Ocean,North America,USA,Florida,Brevard County,2015
Atlantic Ocean,North America,USA,Florida,Volusia County,2015
Atlantic Ocean,North America,USA,Florida,Brevard County,2015
Indian Ocean,Africa,Mascarene Islands,Reunion Island,Saint-Paul,2015
Atlantic Ocean,North America,USA,Florida,Brevard County,2015
Atlantic Ocean,North America,USA,Florida,Miami-Dade County,2015
Atlantic Ocean,North America,USA,North Carolina,Brunswick County,2015
Atlantic Ocean,North America,USA,North Carolina,Brunswick County,2015
Atlantic Ocean,North America,USA,North Carolina,Brunswick County,2015
Atlantic Ocean,North America,USA,Florida,Volusia County,2015
Gulf of Mexico,North America,USA,Texas,Nueces County,2015
Indian Ocean,Australia,Australia,Western Australia,,2015
Atlantic Ocean,North America,USA,North Carolina,Pender County,2015
Atlantic Ocean,North America,USA,North Carolina,Dare County,2015
Atlantic Ocean,North America,USA,South Carolina,Beaufort County,2015
Atlantic Ocean,North America,USA,South Carolina,Beaufort County,2015
Atlantic Ocean,North America,USA,North Carolina,Dare County,2015
Atlantic Ocean,North America,USA,Florida,Duval County,2015
Atlantic Ocean South,Africa,Republic of South Africa,Western Cape,Plettenberg Bay,2015
DIJ,Africa,Republic of South Africa,Western Cape,Knysna,2015
Atlantic Ocean,North America,USA,North Carolina,Hyde County,2015
Atlantic Ocean,North America,USA,South Carolina,Charleston County,2015
Tasman Sea,Australia,Australia,New South Wales,Ballina,2015
Pacific Ocean South,Australia,Australia,New South Wales,Ballina,2015
Atlantic Ocean,North America,USA,North Carolina,Pender County,2015
Pacific Ocean South,Australia,Australia,New South Wales,Yamba,2015
Atlantic Ocean South,Africa,Republic of South Africa,Eastern Cape,Jeffreys Bay,2015
Indian Ocean,Africa,Mascarene Islands,Reunion Island,St. Leu,2015
Atlantic Ocean,North America,USA,Florida,Volusia County,2015
Tasman Sea,Australia,Australia,New South Wales,Evans Head,2015
Atlantic Ocean,North America,USA,South Carolina,Colleton County,2015
DIJ,Australia,Australia,Victoria,Portland,2015
Coral Sea,Australia,Australia,Queensland,,2015
